bug,file,score
bug_report_24.json,vhdlpp_vhdlreal.cc,0.22110971661304896
bug_report_24.json,tgt-null_null.c,0.10913355493838962
bug_report_24.json,vvp_main.cc,0.09516038946544439
bug_report_24.json,tgt-pcb_pcb.cc,0.09431887497838998
bug_report_24.json,tgt-vhdl_vhdl.cc,0.08904712861399758
bug_report_24.json,tgt-vvp_vvp.c,0.05846198800381931
bug_report_24.json,vhdlpp_main.cc,0.05093407664427636
bug_report_24.json,tgt-blif_blif.cc,0.05078351374840344
bug_report_24.json,PNamedItem.h,0.04660032997252245
bug_report_24.json,vvp_stop.cc,0.0459899871308138
bug_report_24.json,tgt-vhdl_stmt.cc,0.045386741916235665
bug_report_24.json,Module.cc,0.04442282342629417
bug_report_24.json,tgt-vlog95_vlog95.c,0.04208867021974327
bug_report_24.json,vpi_event1.c,0.04104472515850339
bug_report_24.json,vpi_lz4.c,0.039991968849618684
bug_report_24.json,src_analyzer.h,0.03998756458235207
bug_report_24.json,tgt-pal_imain.c,0.0395533549312414
bug_report_24.json,elaborate.cc,0.03925730334677814
bug_report_24.json,net_scope.cc,0.038049314468250314
bug_report_24.json,netmisc.cc,0.03645412709551327
bug_report_24.json,vpi_br_gh308.c,0.03607717338115052
bug_report_24.json,vpi_br_gh1041.c,0.034852890640230005
bug_report_24.json,ivlpp_main.c,0.03445055091787236
bug_report_24.json,vhdlpp_vhdlint.h,0.034084014797640366
bug_report_24.json,vvp_vpi_time.cc,0.032888108130279835
bug_report_24.json,elab_expr.cc,0.032818539872080964
bug_report_24.json,vvp_permaheap.h,0.03275342486155072
bug_report_24.json,vhdlpp_library.cc,0.03262357736958669
bug_report_24.json,vhdlpp_parse_types.h,0.031688182385654434
bug_report_24.json,vvp_file_line.cc,0.03000317822153785
bug_report_1.json,tgt-null_null.c,0.2521307200688677
bug_report_1.json,tgt-pcb_pcb.cc,0.234679079971476
bug_report_1.json,vvp_main.cc,0.2156527284195674
bug_report_1.json,tgt-vhdl_vhdl.cc,0.21391474517162598
bug_report_1.json,vhdlpp_main.cc,0.17749499998314675
bug_report_1.json,tgt-vvp_vvp.c,0.16774415109704313
bug_report_1.json,tgt-vlog95_vlog95.c,0.1473180463069086
bug_report_1.json,vpi_pr2966059.c,0.12190962480841312
bug_report_1.json,driver_main.c,0.11866196066889115
bug_report_1.json,vvp_vpi_modules.cc,0.11044821834346417
bug_report_1.json,ivlpp_main.c,0.10717690150667597
bug_report_1.json,tgt-blif_blif.cc,0.10669090652723794
bug_report_1.json,main.cc,0.09044376662585422
bug_report_1.json,vvp_stop.cc,0.08460139509141268
bug_report_1.json,version_base.h,0.08137770967031252
bug_report_1.json,vhdlpp_library.cc,0.07664368970319756
bug_report_1.json,tgt-sizer_sizer.cc,0.06838492786958571
bug_report_1.json,vpi_br_gh1041.c,0.05539452584117714
bug_report_1.json,vhdlpp_parse_misc.cc,0.05420876521449319
bug_report_1.json,tgt-pcb_footprint.cc,0.05054263847527023
bug_report_1.json,vvp_vpi_cobject.cc,0.04929804531836578
bug_report_1.json,link_const.cc,0.049087369981677384
bug_report_1.json,elaborate.cc,0.04857815659379645
bug_report_1.json,netmisc.cc,0.04850605533398063
bug_report_1.json,dosify.c,0.048443849311647386
bug_report_1.json,vhpi_finish.c,0.04761282788767412
bug_report_1.json,libveriuser_a_version.c,0.04593540982446494
bug_report_1.json,libveriuser_a_product_version.c,0.04593540982446494
bug_report_1.json,pform.cc,0.0456650387486072
bug_report_1.json,netlist.h,0.045343684785840936
bug_report_10.json,tgt-vhdl_vhdl_syntax.cc,0.20771981198986006
bug_report_10.json,tgt-null_null.c,0.16977169953542692
bug_report_10.json,tgt-pcb_pcb.cc,0.152534788487651
bug_report_10.json,vvp_main.cc,0.1406505487696488
bug_report_10.json,tgt-vhdl_vhdl.cc,0.1351555297746475
bug_report_10.json,tgt-vlog95_vlog95.c,0.12393828568697932
bug_report_10.json,tgt-vhdl_vhdl_element.cc,0.11775413602008589
bug_report_10.json,tgt-vvp_vvp.c,0.10732237132531315
bug_report_10.json,vhdlpp_scope.cc,0.09929263198931719
bug_report_10.json,tgt-fpga_mangle.c,0.08971268071840931
bug_report_10.json,vhdlpp_main.cc,0.08639818034920893
bug_report_10.json,tgt-vhdl_support.cc,0.08461642831920349
bug_report_10.json,net_scope.cc,0.0812273608797225
bug_report_10.json,libveriuser_nump.c,0.08112120659491696
bug_report_10.json,tgt-sizer_sizer.cc,0.08033086193149541
bug_report_10.json,tgt-vhdl_state.cc,0.0783385339584799
bug_report_10.json,vhdlpp_package.cc,0.0776915063551969
bug_report_10.json,vhdlpp_architec.cc,0.07491330042645761
bug_report_10.json,tgt-blif_blif.cc,0.0728035789029618
bug_report_10.json,PSpec.cc,0.07147394162600833
bug_report_10.json,elaborate.cc,0.07003821468983251
bug_report_10.json,vhdlpp_architec_emit.cc,0.06882100243131789
bug_report_10.json,vhdlpp_architec_elaborate.cc,0.06500303178206662
bug_report_10.json,vpi_br_gh1037.c,0.06440900352902669
bug_report_10.json,vhdlpp_expression.cc,0.060855199392957394
bug_report_10.json,net_event.cc,0.06032643691925012
bug_report_10.json,vhdlpp_subprogram.cc,0.05731062568667676
bug_report_10.json,vvp_stop.cc,0.057287140493215295
bug_report_10.json,vhdlpp_entity_elaborate.cc,0.0570963083435156
bug_report_10.json,elab_expr.cc,0.05601522775299846
bug_report_11.json,src_main.c,0.17771025996615275
bug_report_11.json,libveriuser_math.c,0.16970557656131538
bug_report_11.json,tgt-null_null.c,0.16937216531461335
bug_report_11.json,tgt-pcb_pcb.cc,0.1602330745535637
bug_report_11.json,tgt-vvp_vvp.c,0.14119832905953708
bug_report_11.json,vvp_main.cc,0.13790404036514226
bug_report_11.json,tgt-vhdl_vhdl.cc,0.13005132073431785
bug_report_11.json,tgt-vlog95_vlog95.c,0.10529444904088696
bug_report_11.json,vhdlpp_main.cc,0.09846802790143579
bug_report_11.json,vvp_stop.cc,0.09574655117346866
bug_report_11.json,dosify.c,0.08704156324333055
bug_report_11.json,tgt-blif_blif.cc,0.08124435607322197
bug_report_11.json,vvp_vpi_modules.cc,0.07609143440172664
bug_report_11.json,tgt-sizer_sizer.cc,0.07535132435306317
bug_report_11.json,ivlpp_main.c,0.07238942034698362
bug_report_11.json,vvp_vpi_priv.cc,0.07130559925474454
bug_report_11.json,vpi_br_gh1041.c,0.06657557909229117
bug_report_11.json,main.cc,0.06532417766102264
bug_report_11.json,tgt-vhdl_state.cc,0.06389892848623324
bug_report_11.json,tgt-vhdl_vhdl_syntax.cc,0.06306926689938268
bug_report_11.json,vhdlpp_scope.cc,0.06229740390610233
bug_report_11.json,vhdlpp_parse_misc.cc,0.061529987822011384
bug_report_11.json,elab_lval.cc,0.05888949179436549
bug_report_11.json,pform.cc,0.0560703260062208
bug_report_11.json,vvp_extend.cc,0.05442793155489278
bug_report_11.json,vhdlpp_package.cc,0.05424286496313273
bug_report_11.json,vhdlpp_vtype.cc,0.05276251288061224
bug_report_11.json,vpi_pr2314742.c,0.051700455267822555
bug_report_11.json,tgt-vhdl_vhdl_element.cc,0.0515138550352549
bug_report_11.json,vvp_vpi_time.cc,0.05069147053144918
bug_report_12.json,tgt-null_null.c,0.13589463318777775
bug_report_12.json,elab_lval.cc,0.12901673352709664
bug_report_12.json,tgt-pcb_pcb.cc,0.12534142600900156
bug_report_12.json,vvp_main.cc,0.12519351128721887
bug_report_12.json,tgt-vhdl_vhdl.cc,0.12064472571234343
bug_report_12.json,vvp_event.cc,0.11935684535911895
bug_report_12.json,tgt-vhdl_vhdl_syntax.cc,0.10909769916033524
bug_report_12.json,vhdlpp_scope.cc,0.10770711933362834
bug_report_12.json,tgt-vhdl_state.cc,0.09713739426707008
bug_report_12.json,vvp_island_tran.cc,0.08938034621849317
bug_report_12.json,vhdlpp_architec_emit.cc,0.0880322534046329
bug_report_12.json,tgt-sizer_sizer.cc,0.08410895242681277
bug_report_12.json,vhdlpp_package.cc,0.08327589678301325
bug_report_12.json,vhdlpp_main.cc,0.0832691278148515
bug_report_12.json,tgt-vlog95_vlog95.c,0.08243967796541514
bug_report_12.json,tgt-vvp_vvp.c,0.08202291383488264
bug_report_12.json,vhdlpp_entity_emit.cc,0.08154483569376125
bug_report_12.json,PSpec.cc,0.08098700118852621
bug_report_12.json,vhdlpp_subprogram_emit.cc,0.07980056581318618
bug_report_12.json,tgt-vhdl_vhdl_element.cc,0.0786889411940267
bug_report_12.json,vhdlpp_entity_elaborate.cc,0.07643065016946043
bug_report_12.json,vhdlpp_architec.cc,0.07363961100775265
bug_report_12.json,elab_sig.cc,0.07288344562558902
bug_report_12.json,main.cc,0.07274993014430316
bug_report_12.json,vhdlpp_subprogram.cc,0.07196784887008907
bug_report_12.json,vhdlpp_vtype.cc,0.0717906189221986
bug_report_12.json,pform.cc,0.0701099325666052
bug_report_12.json,elaborate.cc,0.0699234209083385
bug_report_12.json,vhdlpp_library.cc,0.06865265922243356
bug_report_12.json,vhdlpp_sequential_emit.cc,0.06795631796134506
bug_report_13.json,vhdlpp_scope.cc,0.11345473224024297
bug_report_13.json,PSpec.cc,0.0962057475537123
bug_report_13.json,vhdlpp_package.cc,0.084810423478559
bug_report_13.json,tgt-vhdl_state.cc,0.07487865002689097
bug_report_13.json,vhdlpp_architec.cc,0.06895832175360268
bug_report_13.json,Module.cc,0.06710940218451389
bug_report_13.json,vhdlpp_entity_emit.cc,0.06661662324846199
bug_report_13.json,vhdlpp_architec_emit.cc,0.06655968408698722
bug_report_13.json,vhdlpp_subprogram_emit.cc,0.06487336887763101
bug_report_13.json,libveriuser_getlongp.c,0.0640347465763826
bug_report_13.json,tgt-sizer_sizer.cc,0.06305120906539707
bug_report_13.json,main.cc,0.06155121468395407
bug_report_13.json,vhdlpp_architec_elaborate.cc,0.060275100039335006
bug_report_13.json,vhdlpp_vtype.cc,0.05979075541197608
bug_report_13.json,vhdlpp_subprogram.cc,0.058835039792922095
bug_report_13.json,vhdlpp_package_emit.cc,0.05867389045770219
bug_report_13.json,vhdlpp_entity_elaborate.cc,0.05619774592502065
bug_report_13.json,vhdlpp_sequential_emit.cc,0.055176772649128944
bug_report_13.json,pform.cc,0.05398765155892702
bug_report_13.json,tgt-pcb_show_netlist.cc,0.05296802355822076
bug_report_13.json,vhdlpp_entity_stream.cc,0.05276795174726404
bug_report_13.json,elab_sig.cc,0.052278448203979005
bug_report_13.json,eval_attrib.cc,0.05024493212642474
bug_report_13.json,vhdlpp_library.cc,0.04940024815554971
bug_report_13.json,vvp_lib_main.cc,0.04828088713246866
bug_report_13.json,elaborate.cc,0.04815040703480816
bug_report_13.json,load_module.cc,0.0472947810900437
bug_report_13.json,elab_scope.cc,0.04715790330032786
bug_report_13.json,vhdlpp_debug.cc,0.04546130609057925
bug_report_13.json,tgt-vvp_draw_net_input.c,0.04499278375461769
bug_report_14.json,tgt-null_null.c,0.37152957887220656
bug_report_14.json,tgt-pcb_pcb.cc,0.34213013268289166
bug_report_14.json,tgt-vhdl_vhdl.cc,0.28949586410145306
bug_report_14.json,vvp_main.cc,0.2825516341739906
bug_report_14.json,tgt-vvp_vvp.c,0.22355582546866995
bug_report_14.json,tgt-blif_blif.cc,0.19899894580386202
bug_report_14.json,vhdlpp_main.cc,0.19224156727141486
bug_report_14.json,vvp_stop.cc,0.16207562933279912
bug_report_14.json,tgt-vlog95_vlog95.c,0.16185120837878844
bug_report_14.json,ivlpp_main.c,0.12169810224760015
bug_report_14.json,tgt-sizer_sizer.cc,0.11045979262102659
bug_report_14.json,vhdlpp_vtype.cc,0.07467637640014493
bug_report_14.json,vvp_array.cc,0.07371885092403553
bug_report_14.json,main.cc,0.07226577212072392
bug_report_14.json,tgt-vhdl_vhdl_syntax.cc,0.06766526537561413
bug_report_14.json,elaborate.cc,0.06255641938098896
bug_report_14.json,vpi_display_array.c,0.06100457810150421
bug_report_14.json,elab_expr.cc,0.057288461866272046
bug_report_14.json,elab_net.cc,0.05656054213606334
bug_report_14.json,vhdlpp_entity.cc,0.05610876391301303
bug_report_14.json,vpi_sys_readmem.c,0.05601611617623725
bug_report_14.json,vpi_br_gh1041.c,0.05097195208583568
bug_report_14.json,vvp_vvp_net.cc,0.05093804509133768
bug_report_14.json,tgt-pal_imain.c,0.05047853008288831
bug_report_14.json,vpi_v2009_enum.c,0.0492984733188367
bug_report_14.json,tgt-vhdl_vhdl_element.cc,0.04928914372721295
bug_report_14.json,synth2.cc,0.04917710555923709
bug_report_14.json,pform.cc,0.04890008843469754
bug_report_14.json,vhdlpp_expression.cc,0.048127418185326155
bug_report_14.json,Attrib.cc,0.04806233611422701
bug_report_15.json,tgt-null_null.c,0.32769780378819685
bug_report_15.json,tgt-pcb_pcb.cc,0.28301425729141383
bug_report_15.json,tgt-vhdl_vhdl.cc,0.2652697306147367
bug_report_15.json,vvp_main.cc,0.26346381381106554
bug_report_15.json,vhdlpp_main.cc,0.22448157143935413
bug_report_15.json,vpi_vcd_priv.c,0.21448676862027008
bug_report_15.json,tgt-vvp_vvp.c,0.1826085021992305
bug_report_15.json,tgt-vlog95_vlog95.c,0.15814105463336026
bug_report_15.json,tgt-blif_blif.cc,0.1371910666055412
bug_report_15.json,tgt-pcb_pcb_priv.h,0.13537080698002896
bug_report_15.json,ivlpp_main.c,0.11874356221675925
bug_report_15.json,vpi_br_gh317.c,0.09926802670012769
bug_report_15.json,tgt-pcb_scope.cc,0.09481726025062634
bug_report_15.json,tgt-sizer_sizer.cc,0.09467901733617912
bug_report_15.json,main.cc,0.08786044196409486
bug_report_15.json,vvp_stop.cc,0.08722294265822682
bug_report_15.json,vpi_vhdl_textio.c,0.0791548138994327
bug_report_15.json,tgt-pcb_footprint.cc,0.07232109681846143
bug_report_15.json,tgt-vhdl_state.cc,0.06765195707004115
bug_report_15.json,driver_main.c,0.06625609852660277
bug_report_15.json,version_base.h,0.06471802401981311
bug_report_15.json,tgt-pal_imain.c,0.05909734139051133
bug_report_15.json,vpi_br_gh1041.c,0.05684953246502337
bug_report_15.json,PUdp.h,0.056676964686020834
bug_report_15.json,elaborate.cc,0.05580452734182828
bug_report_15.json,vhdlpp_ivl_assert.h,0.054776292266926395
bug_report_15.json,pform.cc,0.05441877164814203
bug_report_15.json,libmisc_LineInfo.h,0.05432050214213687
bug_report_15.json,vvp_vpi_modules.cc,0.0540429809282138
bug_report_15.json,elab_expr.cc,0.05395393281731263
bug_report_16.json,dup_expr.cc,0.1279473762729263
bug_report_16.json,net_scope.cc,0.11518488050183334
bug_report_16.json,tgt-pcb_pcb.cc,0.10494230994408689
bug_report_16.json,tgt-null_null.c,0.09637867538328046
bug_report_16.json,net_event.cc,0.09409249796911393
bug_report_16.json,elab_expr.cc,0.09337015453786633
bug_report_16.json,elaborate.cc,0.0885223856904977
bug_report_16.json,vvp_main.cc,0.086940720116037
bug_report_16.json,functor.cc,0.08468147210410665
bug_report_16.json,netlist.cc,0.08419042600464753
bug_report_16.json,vvp_delay.cc,0.08296366466562063
bug_report_16.json,vvp_vpi_modules.cc,0.08013332965926692
bug_report_16.json,pad_to_width.cc,0.07983037847964555
bug_report_16.json,nodangle.cc,0.07770390831707756
bug_report_16.json,synth.cc,0.0770731089948378
bug_report_16.json,tgt-vhdl_vhdl.cc,0.07597519374993264
bug_report_16.json,netmisc.cc,0.0729828333620818
bug_report_16.json,vvp_vpi_string.cc,0.0700349228521302
bug_report_16.json,elab_scope.cc,0.06664693136113928
bug_report_16.json,vhdlpp_library.cc,0.06563572649137313
bug_report_16.json,vhdlpp_vhdlnum.h,0.06410336015108908
bug_report_16.json,vvp_stop.cc,0.06391525659203058
bug_report_16.json,vvp_part.cc,0.0636323762251595
bug_report_16.json,net_design.cc,0.06121453030452878
bug_report_16.json,elab_net.cc,0.06027845116399029
bug_report_16.json,elab_sig.cc,0.06006394466458783
bug_report_16.json,vpi_br_gh1041.c,0.05849296285799829
bug_report_16.json,pform.cc,0.05806684025305189
bug_report_16.json,synth2.cc,0.058025594782443804
bug_report_16.json,eval_tree.cc,0.055810627316604126
bug_report_17.json,tgt-null_null.c,0.36188317033115874
bug_report_17.json,tgt-pcb_pcb.cc,0.33063496196822967
bug_report_17.json,vvp_main.cc,0.3022749506434287
bug_report_17.json,tgt-vhdl_vhdl.cc,0.29609942156857266
bug_report_17.json,vhdlpp_main.cc,0.2527190894504258
bug_report_17.json,tgt-vvp_vvp.c,0.21155409698621205
bug_report_17.json,tgt-vlog95_vlog95.c,0.18275939933466612
bug_report_17.json,tgt-blif_blif.cc,0.15896975706125427
bug_report_17.json,ivlpp_main.c,0.14381300433580022
bug_report_17.json,tgt-sizer_sizer.cc,0.1338807010157668
bug_report_17.json,tgt-vhdl_vhdl_syntax.cc,0.12942185000999934
bug_report_17.json,elab_lval.cc,0.12882543301662278
bug_report_17.json,vvp_stop.cc,0.12093756336430998
bug_report_17.json,main.cc,0.117847979984209
bug_report_17.json,elaborate.cc,0.11560744611983761
bug_report_17.json,elab_expr.cc,0.11157055160395046
bug_report_17.json,vhdlpp_architec_emit.cc,0.1071951612268184
bug_report_17.json,elab_net.cc,0.09931159689726533
bug_report_17.json,vhdlpp_entity_elaborate.cc,0.09442307544177497
bug_report_17.json,elab_sig.cc,0.09329781956090427
bug_report_17.json,tgt-vhdl_state.cc,0.09247239969083323
bug_report_17.json,tgt-vhdl_vhdl_element.cc,0.09240797434385152
bug_report_17.json,vhdlpp_expression.cc,0.09214323091306481
bug_report_17.json,net_scope.cc,0.09172654009094301
bug_report_17.json,vhdlpp_architec_elaborate.cc,0.09002788404448564
bug_report_17.json,vhdlpp_scope.cc,0.08968220442031809
bug_report_17.json,driver_main.c,0.08762605436059806
bug_report_17.json,vhdlpp_subprogram.cc,0.08761159093359545
bug_report_17.json,vpi_br_gh1041.c,0.0867635373590794
bug_report_17.json,vhdlpp_entity_emit.cc,0.08602879930511521
bug_report_18.json,tgt-null_null.c,0.23896132522644029
bug_report_18.json,tgt-pcb_pcb.cc,0.22448645178551122
bug_report_18.json,vvp_main.cc,0.19046582706487464
bug_report_18.json,tgt-vhdl_vhdl.cc,0.18713951739061094
bug_report_18.json,tgt-vlog95_vlog95.c,0.14774241151049275
bug_report_18.json,tgt-vvp_vvp.c,0.13827057793190026
bug_report_18.json,vvp_resolv.h,0.13799073254985558
bug_report_18.json,vvp_stop.cc,0.13179679866911784
bug_report_18.json,vhdlpp_main.cc,0.13054500964872556
bug_report_18.json,tgt-blif_blif.cc,0.1182890018046423
bug_report_18.json,vvp_vpi_modules.cc,0.11063426026667213
bug_report_18.json,vvp_concat.cc,0.10654892168691549
bug_report_18.json,vvp_part.cc,0.10056952382423744
bug_report_18.json,pform.cc,0.10021687071053163
bug_report_18.json,ivlpp_main.c,0.09439844638452263
bug_report_18.json,vvp_sfunc.h,0.09381629135433775
bug_report_18.json,tgt-vhdl_vhdl_syntax.cc,0.09303465579821907
bug_report_18.json,vvp_resolv.cc,0.09151966262829589
bug_report_18.json,vvp_substitute.cc,0.08801958959752348
bug_report_18.json,driver_main.c,0.08739605992445443
bug_report_18.json,vvp_concat.h,0.085297499408187
bug_report_18.json,elab_expr.cc,0.08505856771241818
bug_report_18.json,tgt-sizer_sizer.cc,0.08503694455182473
bug_report_18.json,libveriuser_a_handle_object.c,0.08483183934629922
bug_report_18.json,vpi_br_gh1041.c,0.08250017188714308
bug_report_18.json,vvp_vpi_callback.cc,0.08004316140052409
bug_report_18.json,vhdlpp_library.cc,0.07995014485200105
bug_report_18.json,vpi_table_mod.h,0.07831191826023189
bug_report_18.json,vvp_words.cc,0.0776915160594337
bug_report_18.json,tgt-fpga_mangle.c,0.07761489016813868
bug_report_19.json,tgt-null_null.c,0.6418875314481922
bug_report_19.json,tgt-pcb_pcb.cc,0.5916074912241701
bug_report_19.json,tgt-vhdl_vhdl.cc,0.5019088379821902
bug_report_19.json,vvp_main.cc,0.49142731197105755
bug_report_19.json,vhdlpp_main.cc,0.37965501548378383
bug_report_19.json,tgt-vvp_vvp.c,0.3266563550095902
bug_report_19.json,tgt-vlog95_vlog95.c,0.2999628312810604
